,last_name,full_name,type,state,district
454,Peltola,Mary Sattler Peltola,rep,AK,0.0
455,Ryan,Patrick Ryan,rep,NY,18.0
456,Yakym,Rudy Yakym III,rep,IN,2.0
457,Zinke,Ryan K. Zinke,rep,MT,1.0
458,Britt,Katie Boyd Britt,sen,AL,
459,Schmitt,Eric Schmitt,sen,MO,
460,Vance,J.D. Vance,sen,OH,
461,Fetterman,John Fetterman,sen,PA,
462,Strong,Dale W. Strong,rep,AL,5.0
463,Crane,Elijah Crane,rep,AZ,2.0
464,Ciscomani,Juan Ciscomani,rep,AZ,6.0
465,Kiley,Kevin Kiley,rep,CA,3.0
466,Duarte,John S. Duarte,rep,CA,13.0
467,Mullin,Kevin Mullin,rep,CA,15.0
468,Kamlager-Dove,Sydney Kamlager-Dove,rep,CA,37.0
469,Garcia,Robert Garcia,rep,CA,42.0
470,Pettersen,Brittany Pettersen,rep,CO,7.0
471,Caraveo,Yadira Caraveo,rep,CO,8.0
472,Bean,Aaron Bean,rep,FL,4.0
473,Mills,Cory Mills,rep,FL,7.0
474,Frost,Maxwell Frost,rep,FL,10.0
475,Paulina Luna,Anna Paulina Luna,rep,FL,13.0
476,Lee,Laurel M. Lee,rep,FL,15.0
477,Moskowitz,Jared Moskowitz,rep,FL,23.0
478,McCormick,Richard McCormick,rep,GA,6.0
479,Collins,Mike Collins,rep,GA,10.0
480,Moylan,James C. Moylan,rep,GU,0.0
481,Tokuda,Jill N. Tokuda,rep,HI,2.0
482,Nunn,Zachary Nunn,rep,IA,3.0
483,Jackson,Jonathan L. Jackson,rep,IL,1.0
484,Ramirez,Delia C. Ramirez,rep,IL,3.0
485,Budzinski,Nikki Budzinski,rep,IL,13.0
486,Sorensen,Eric Sorensen,rep,IL,17.0
487,Houchin,Erin Houchin,rep,IN,9.0
488,McGarvey,Morgan McGarvey,rep,KY,3.0
489,Ivey,Glenn Ivey,rep,MD,4.0
490,Scholten,Hillary J. Scholten,rep,MI,3.0
491,James,John James,rep,MI,10.0
492,Thanedar,Shri Thanedar,rep,MI,13.0
493,Alford,Mark Alford,rep,MO,4.0
494,Burlison,Eric Burlison,rep,MO,7.0
495,Ezell,Mike Ezell,rep,MS,4.0
496,Davis,Donald G. Davis,rep,NC,1.0
497,Foushee,Valerie P. Foushee,rep,NC,4.0
498,Edwards,Chuck Edwards,rep,NC,11.0
499,Nickel,Wiley Nickel,rep,NC,13.0
500,Jackson,Jeff Jackson,rep,NC,14.0
501,Kean,"Thomas H. Kean, Jr.",rep,NJ,7.0
502,Menendez,Robert Menendez,rep,NJ,8.0
503,Vasquez,Gabe Vasquez,rep,NM,2.0
504,LaLota,Nick LaLota,rep,NY,1.0
505,Santos,George Santos,rep,NY,3.0
506,D'Esposito,Anthony D’Esposito,rep,NY,4.0
507,Goldman,Daniel S. Goldman,rep,NY,10.0
508,Lawler,Michael Lawler,rep,NY,17.0
509,Molinaro,Marcus J. Molinaro,rep,NY,19.0
510,Williams,Brandon Williams,rep,NY,22.0
511,Langworthy,Nicholas A. Langworthy,rep,NY,23.0
512,Landsman,Greg Landsman,rep,OH,1.0
513,Miller,Max L. Miller,rep,OH,7.0
514,Sykes,Emilia Strong Sykes,rep,OH,13.0
515,Brecheen,Josh Brecheen,rep,OK,2.0
516,Hoyle,Val T. Hoyle,rep,OR,4.0
517,Chavez-DeRemer,Lori Chavez-DeRemer,rep,OR,5.0
518,Salinas,Andrea Salinas,rep,OR,6.0
519,Lee,Summer L. Lee,rep,PA,12.0
520,Deluzio,Christopher R. Deluzio,rep,PA,17.0
521,Magaziner,Seth Magaziner,rep,RI,2.0
522,Fry,Russell Fry,rep,SC,7.0
523,Ogles,Andrew Ogles,rep,TN,5.0
524,Moran,Nathaniel Moran,rep,TX,1.0
525,Self,Keith Self,rep,TX,3.0
526,Luttrell,Morgan Luttrell,rep,TX,8.0
527,De La Cruz,Monica De La Cruz,rep,TX,15.0
528,Crockett,Jasmine Crockett,rep,TX,30.0
529,Casar,Greg Casar,rep,TX,35.0
530,Hunt,Wesley Hunt,rep,TX,38.0
