id,vote,name,party, tuition for private school, and e
339,5,No,Rep. Stephanie Bice [R],Republican,
340,2,No,Rep. Cliff Bentz [R],Republican,
341,1,Aye,Rep. Nancy Mace [R],Republican,
342,1,Aye,Rep. Diana Harshbarger [R],Republican,
343,4,Aye,Rep. Patrick “Pat” Fallon [R],Republican,
344,11,No,Rep. August Pfluger [R],Republican,
345,13,Aye,Rep. Ronny Jackson [R],Republican,
346,22,Aye,Rep. Troy Nehls [R],Republican,
347,23,No,Rep. Ernest “Tony” Gonzales [R],Republican,
348,24,Aye,Rep. Beth Van Duyne [R],Republican,
349,1,No,Rep. Blake Moore [R],Republican,
350,4,Aye,Rep. Clarence “Burgess” Owens [R],Republican,
351,5,Aye,Rep. Robert “Bob” Good [R],Republican,
352,10,No,Rep. Marilyn Strickland [D],Democrat,
353,5,Aye,Rep. Scott Fitzgerald [R],Republican,
354,5,No,Rep. Julia Letlow [R],Republican,
355,2,No,Rep. Troy Carter [D],Democrat,
356,1,No,Rep. Melanie Stansbury [D],Democrat,
357,6,Aye,Rep. Jake Ellzey [R],Republican,
358,11,No,Rep. Shontel Brown [D],Democrat,
359,15,No,Rep. Mike Carey [R],Republican,
360,20,No,Rep. Sheila Cherfilus-McCormick [D],Democrat,
361,1,Aye,Rep. Mike Flood [R],Republican,
362,1,Aye,Rep. Brad Finstad [R],Republican,
363,0,No,Rep. Mary Peltola [D],Democrat,
364,18,No,Rep. Patrick Ryan [D],Democrat,
365,2,No,Rep. Rudy Yakym [R],Republican,
366,5,No,Rep. Dale Strong [R],Republican,
367,2,Aye,Rep. Eli Crane [R],Republican,
368,6,No,Rep. Juan Ciscomani [R],Republican,
369,3,No,Rep. Kevin Kiley [R],Republican,
370,13,No,Rep. John Duarte [R],Republican,
371,15,Not Voting,Rep. Kevin Mullin [D],Democrat,
372,37,No,Rep. Sydney Kamlager-Dove [D],Democrat,
373,42,No,Rep. Robert Julio Garcia [D],Democrat,
374,7,No,Rep. Brittany Pettersen [D],Democrat,
375,8,No,Rep. Yadira Caraveo [D],Democrat,
376,4,No,Rep. Aaron Bean [R],Republican,
377,7,Aye,Rep. Cory Mills [R],Republican,
378,10,No,Rep. Maxwell Frost [D],Democrat,
379,13,Aye,Rep. Anna Paulina Luna [R],Republican,
380,15,No,Rep. Laurel Lee [R],Republican,
381,23,Not Voting,Rep. Jared Moskowitz [D],Democrat,
382,6,Aye,Rep. Rich McCormick [R],Republican,
383,10,Aye,Rep. Mike Collins [R],Republican,
384,0,No,Rep. James (Jim) Moylan [R],Republican,
385,2,No,Rep. Jill Tokuda [D],Democrat,
386,3,No,Rep. Zachary (Zach) Nunn [R],Republican,
387,1,No,Rep. Jonathan Jackson [D],Democrat,
388,3,No,Rep. Delia Ramirez [D],Democrat,
389,13,No,Rep. Nicole (Nikki) Budzinski [D],Democrat,
390,17,No,Rep. Eric Sorensen [D],Democrat,
391,9,Aye,Rep. Erin Houchin [R],Republican,
392,3,No,Rep. Morgan McGarvey [D],Democrat,
393,4,No,Rep. Glenn Ivey [D],Democrat,
394,3,No,Rep. Hillary Scholten [D],Democrat,
395,10,Aye,Rep. John James [R],Republican,
396,13,No,Rep. Shri Thanedar [D],Democrat,
397,4,Aye,Rep. Mark Alford [R],Republican,
398,7,Aye,Rep. Eric Burlison [R],Republican,
399,4,No,Rep. Mike Ezell [R],Republican,
400,1,No,Rep. Donald Davis [D],Democrat,
401,4,No,Rep. Valerie Foushee [D],Democrat,
402,11,Aye,Rep. Charles (Chuck) Edwards [R],Republican,
403,13,No,Rep. Wiley Nickel [D],Democrat,
404,14,No,Rep. Jeffrey Jackson [D],Democrat,
405,7,No,Rep. Thomas Kean [R],Republican,
406,8,No,Rep. Robert Jacobsen Menendez [D],Democrat,
407,2,No,Rep. Gabriel (Gabe) Vasquez [D],Democrat,
408,1,No,Rep. Nicolas LaLota [R],Republican,
409,3,No,Rep. George Santos [R],Republican,
410,4,No,Rep. Anthony D'Esposito [R],Republican,
411,10,No,Rep. Dan Goldman [D],Democrat,
412,17,No,Rep. Michael Lawler [R],Republican,
413,19,No,Rep. Marcus Molinaro [R],Republican,
414,22,Aye,Rep. Brandon Williams [R],Republican,
415,23,No,Rep. Nicholas Langworthy [R],Republican,
416,1,No,Rep. Greg Landsman [D],Democrat,
417,7,Aye,Rep. Max Miller [R],Republican,
418,13,No,Rep. Emilia Sykes [D],Democrat,
419,2,Aye,Rep. Josh Brecheen [R],Republican,
420,4,No,Rep. Valerie Hoyle [D],Democrat,
421,5,No,Rep. Lori Chavez-DeRemer [R],Republican,
422,6,No,Rep. Andrea Salinas [D],Democrat,
423,12,No,Rep. Summer Lee [D],Democrat,
424,17,No,Rep. Chris Deluzio [D],Democrat,
425,2,No,Rep. Seth Magaziner [D],Democrat,
426,7,Aye,Rep. Russell Fry [R],Republican,
427,5,Aye,Rep. Andrew Ogles [R],Republican,
428,1,Aye,Rep. Nathaniel Moran [R],Republican,
429,3,Aye,Rep. Keith Self [R],Republican,
430,8,Aye,Rep. Morgan Luttrell [R],Republican,
431,15,No,Rep. Mónica De La Cruz [R],Republican,
432,30,No,Rep. Jasmine Crockett [D],Democrat,
433,35,No,Rep. Gregorio Casar [D],Democrat,
434,38,Aye,Rep. Wesley Hunt [R],Republican,
435,2,No,Rep. Jennifer Kiggans [R],Republican,
436,0,No,Rep. Becca Balint [D],Democrat,
437,3,No,Rep. Marie Gluesenkamp Perez [D],Democrat,
438,3,No,Rep. Derrick Van Orden [R],Republican,
439,0,Aye,Rep. Harriet Hageman [R],Republican,
440,4,No,Rep. Jennifer McClellan [D],Democrat,
