id,vote,name,party, 28, 29, 30, 37, 45, 79, 80, 92, 94, 96, 106, 110, 116, 121, 155, 164, 165, 180, 181,Unnamed: 24
37,12,Nay,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
38,4,Nay,"Rep. Betty McCollum [D, 2001-2024]",Democrat,,,,,,,,,,,,,,,,,,,
39,2,Nay,"Rep. James “Jim” McGovern [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,
40,5,Nay,"Rep. Gregory Meeks [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,
41,10,Nay,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
42,32,Nay,"Rep. Grace Napolitano [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
43,1,Nay,"Rep. Richard Neal [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,
44,6,Nay,"Rep. Frank Pallone [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,
45,9,Nay,"Rep. Bill Pascrell [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,
46,4,Nay,"Rep. David Price [D, 1997-2022]",Democrat,,,,,,,,,,,,,,,,,,,
47,5,Yea,"Rep. Harold “Hal” Rogers [R, 1981-2024]",Republican,,,,,,,,,,,,,,,,,,,
48,3,Yea,"Rep. Mike Rogers [R, 2003-2024]",Republican,,,,,,,,,,,,,,,,,,,
49,40,Nay,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
50,2,Nay,"Rep. A. Dutch Ruppersberger [D, 2003-2024]",Democrat,,,,,,,,,,,,,,,,,,,
51,1,Nay,"Rep. Bobby Rush [D, 1993-2022]",Democrat,,,,,,,,,,,,,,,,,,,
52,13,Nay,"Rep. Tim Ryan [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
53,38,Nay,"Rep. Linda Sánchez [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,
54,9,Nay,"Rep. Janice “Jan” Schakowsky [D, 1999-2024]",Democrat,,,,,,,,,,,,,,,,,,,
55,28,Nay,"Rep. Adam Schiff [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
56,13,Nay,"Rep. David Scott [D, 2003-2024]",Democrat,,,,,,,,,,,,,,,,,,,
57,3,Nay,"Rep. Robert “Bobby” Scott [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,
58,17,Yea,"Rep. Pete Sessions [R, 2021-2024]",Republican,,,,,,,,,,,,,,,,,,,
59,30,Nay,"Rep. Brad Sherman [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
60,2,Yea,"Rep. Michael “Mike” Simpson [R, 1999-2024]",Republican,,,,,,,,,,,,,,,,,,,
61,9,Nay,"Rep. Adam Smith [D, 1997-2024]",Democrat,,,,,,,,,,,,,,,,,,,
62,4,Yea,"Rep. Christopher “Chris” Smith [R, 1981-2024]",Republican,,,,,,,,,,,,,,,,,,,
63,2,Nay,"Rep. Bennie Thompson [D, 1993-2024]",Democrat,,,,,,,,,,,,,,,,,,,
64,5,Nay,"Rep. Mike Thompson [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
65,10,Yea,"Rep. Michael Turner [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,
66,6,Yea,"Rep. Fred Upton [R, 1993-2022]",Republican,,,,,,,,,,,,,,,,,,,
67,7,Nay,"Rep. Nydia Velázquez [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,
68,43,Nay,"Rep. Maxine Waters [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,
69,2,Yea,"Rep. Joe Wilson [R, 2001-2024]",Republican,,,,,,,,,,,,,,,,,,,
70,0,Yea,"Rep. Don Young [R, 1973-2022]",Republican,,,,,,,,,,,,,,,,,,,
71,1,Nay,"Rep. George “G.K.” Butterfield [D, 2004-2022]",Democrat,,,,,,,,,,,,,,,,,,,
72,16,Nay,"Rep. Jim Costa [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
73,23,Nay,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,
74,5,Nay,"Rep. Emanuel Cleaver [D, 2005-2024]",Democrat,,,,,,,,,,,,,,,,,,,
75,1,Yea,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican,,,,,,,,,,,,,,,,,,,
76,26,Nay,"Rep. Brian Higgins [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,
77,5,Yea,"Rep. Virginia Foxx [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,
78,10,Yea,"Rep. Patrick McHenry [R, 2005-2024]",Republican,,,,,,,,,,,,,,,,,,,
