id,vote,name,party, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 27, and 28.
168,8,No,"Rep. Larry Bucshon [R, 2011-2024]",Republican,,,,,,,,,,,,,,
169,2,Aye,"Rep. Cedric Richmond [D, 2011-2021]",Democrat,,,,,,,,,,,,,,
170,1,No,"Rep. Andy Harris [R, 2011-2024]",Republican,,,,,,,,,,,,,,
171,9,Aye,"Rep. William R. Keating [D, 2013-2024]",Democrat,,,,,,,,,,,,,,
172,2,Aye,"Rep. Bill Huizenga [R, 2011-2022]",Republican,,,,,,,,,,,,,,
173,3,No,"Rep. Justin Amash [L, 2011-2020]",Independent,,,,,,,,,,,,,,
174,4,No,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,,,,,,,,,,,,,
175,4,No,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,,,,,,,,,,,,,,
176,7,No,"Rep. Billy Long [R, 2011-2022]",Republican,,,,,,,,,,,,,,
177,6,No,"Rep. Bill Johnson [R, 2011-2024]",Republican,,,,,,,,,,,,,,
178,15,No,"Rep. Steve Stivers [R, 2011-2021]",Republican,,,,,,,,,,,,,,
179,7,No,"Rep. Bob Gibbs [R, 2013-2022]",Republican,,,,,,,,,,,,,,
180,16,Not Voting,"Rep. Mike Kelly [R, 2019-2024]",Republican,,,,,,,,,,,,,,
181,1,Aye,"Rep. David Cicilline [D, 2011-2023]",Democrat,,,,,,,,,,,,,,
182,3,No,"Rep. Jeff Duncan [R, 2011-2024]",Republican,,,,,,,,,,,,,,
183,3,No,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,,,,,,,,,,,,,,
184,4,No,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,,,,,,,,,,,,,,
185,17,No,"Rep. Bill Flores [R, 2011-2020]",Republican,,,,,,,,,,,,,,
186,9,No,"Rep. Morgan Griffith [R, 2011-2024]",Republican,,,,,,,,,,,,,,
187,3,Aye,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,,,,,,,,,,,,,
188,1,No,"Rep. David McKinley [R, 2011-2022]",Republican,,,,,,,,,,,,,,
189,2,No,"Rep. Mark Amodei [R, 2011-2024]",Republican,,,,,,,,,,,,,,
