id,vote,name,party, 8, 9, 10, 13, 17, 18, 21, 22, 23, 24, 27, 28, 29, 31, 33, 39, 58, 61, 64, 65, 70, 72, 78, 83,Unnamed: 29
167,1,Nay,"Rep. Andy Harris [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
168,9,Not Voting,"Rep. William R. Keating [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
169,2,Nay,"Rep. Bill Huizenga [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
170,3,Nay,"Rep. Justin Amash [L, 2011-2020]",Libertarian,,,,,,,,,,,,,,,,,,,,,,,,
171,4,Nay,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
172,4,Nay,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
173,7,Nay,"Rep. Billy Long [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
174,6,Nay,"Rep. Bill Johnson [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
175,15,Nay,"Rep. Steve Stivers [R, 2011-2021]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
176,7,Not Voting,"Rep. Bob Gibbs [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
177,16,Nay,"Rep. Mike Kelly [R, 2019-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
178,1,Yea,"Rep. David Cicilline [D, 2011-2023]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
179,3,Nay,"Rep. Jeff Duncan [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
180,3,Nay,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
181,4,Nay,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
182,17,Nay,"Rep. Bill Flores [R, 2011-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
183,9,Nay,"Rep. Morgan Griffith [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
184,3,Nay,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
185,1,Nay,"Rep. David McKinley [R, 2011-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
186,2,Nay,"Rep. Mark Amodei [R, 2011-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
187,1,Yea,"Rep. Suzanne Bonamici [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
188,4,Nay,"Rep. Thomas Massie [R, 2012-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
189,1,Yea,"Rep. Suzan DelBene [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
190,10,Yea,"Rep. Donald Payne Jr. [D, 2012-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
191,1,Nay,"Rep. Doug LaMalfa [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
192,2,Yea,"Rep. Jared Huffman [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
193,7,Yea,"Rep. Ami Bera [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
194,8,Nay,"Rep. Paul Cook [R, 2013-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
195,15,Yea,"Rep. Eric Swalwell [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
196,26,Yea,"Rep. Julia Brownley [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
197,29,Yea,"Rep. Tony Cárdenas [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
198,36,Yea,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
199,41,Yea,"Rep. Mark Takano [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
200,47,Yea,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
201,51,Yea,"Rep. Juan Vargas [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
202,52,Yea,"Rep. Scott Peters [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
203,3,Not Voting,"Rep. Ted Yoho [R, 2013-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
204,21,Yea,"Rep. Lois Frankel [D, 2017-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
205,9,Nay,"Rep. Doug Collins [R, 2013-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
206,2,Yea,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
207,10,Yea,"Rep. Bradley “Brad” Schneider [D, 2017-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
208,13,Nay,"Rep. Rodney Davis [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
209,17,Yea,"Rep. Cheri Bustos [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
210,2,Nay,"Rep. Jackie Walorski [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
211,5,Nay,"Rep. Susan Brooks [R, 2013-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
212,6,Nay,"Rep. Garland “Andy” Barr [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
213,4,Yea,"Rep. Joseph P. Kennedy [D, 2013-2020]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
214,5,Yea,"Rep. Daniel Kildee [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
215,2,Nay,"Rep. Ann Wagner [R, 2013-2024]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
216,8,Nay,"Rep. Richard Hudson [R, 2013-2022]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
217,2,Nay,"Rep. George Holding [R, 2017-2020]",Republican,,,,,,,,,,,,,,,,,,,,,,,,
218,2,Yea,"Rep. Ann Kuster [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
219,4,Yea,"Rep. Steven Horsford [D, 2019-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
220,6,Yea,"Rep. Grace Meng [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
221,8,Yea,"Rep. Hakeem Jeffries [D, 2013-2024]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
222,18,Yea,"Rep. Sean Maloney [D, 2013-2022]",Democrat,,,,,,,,,,,,,,,,,,,,,,,,
