id,vote,name,party, Food and Drug Administration, Interior, Environment, Military ...
309,3,Aye,"Rep. Drew Ferguson [R, 2017-2024]",Republican,,,
310,8,No,"Rep. Raja Krishnamoorthi [D, 2017-2024]",Democrat,,,
311,3,Aye,"Rep. Jim Banks [R, 2017-2024]",Republican,,,
312,9,Aye,"Rep. Trey Hollingsworth [R, 2017-2022]",Republican,,,
313,1,Aye,"Rep. Roger Marshall [R, 2017-2020]",Republican,,,
314,3,Aye,"Rep. Clay Higgins [R, 2017-2024]",Republican,,,
315,4,Aye,"Rep. Mike Johnson [R, 2017-2024]",Republican,,,
316,4,No,"Rep. Anthony Brown [D, 2017-2022]",Democrat,,,
317,8,No,"Rep. Jamie Raskin [D, 2017-2024]",Democrat,,,
318,1,Aye,"Rep. Jack Bergman [R, 2017-2024]",Republican,,,
319,10,Aye,"Rep. Paul Mitchell [I, 2017-2020]",Republican,,,
320,13,Aye,"Rep. Ted Budd [R, 2017-2022]",Republican,,,
321,2,Aye,"Rep. Don Bacon [R, 2017-2024]",Republican,,,
322,5,Aye,"Rep. Josh Gottheimer [D, 2017-2024]",Democrat,,,
323,3,No,"Rep. Thomas Suozzi [D, 2017-2022]",Democrat,,,
324,13,No,"Rep. Adriano Espaillat [D, 2017-2024]",Democrat,,,
325,1,Aye,"Rep. Brian Fitzpatrick [R, 2019-2024]",Republican,,,
326,11,Aye,"Rep. Lloyd Smucker [R, 2019-2024]",Republican,,,
327,8,Aye,"Rep. David Kustoff [R, 2017-2024]",Republican,,,
328,15,No,"Rep. Vicente Gonzalez [D, 2017-2022]",Democrat,,,
329,19,Aye,"Rep. Jodey Arrington [R, 2017-2024]",Republican,,,
330,4,No,"Rep. Donald McEachin [D, 2017-2022]",Democrat,,,
331,7,No,"Rep. Pramila Jayapal [D, 2017-2024]",Democrat,,,
332,8,Aye,"Rep. Mike Gallagher [R, 2017-2024]",Republican,,,
333,0,Not Voting,"Rep. Liz Cheney [R, 2017-2022]",Republican,,,
334,4,Aye,"Rep. Ron Estes [R, 2017-2024]",Republican,,,
335,0,Aye,"Rep. Greg Gianforte [R, 2017-2020]",Republican,,,
336,5,Aye,"Rep. Ralph Norman [R, 2017-2024]",Republican,,,
